"imageFilename","imdbScore","Adventure","Comedy","Action","Romance","Drama","Crime","Thriller","Horror","Mystery","Documentary"
"443272.jpg","7.4","0","0","0","0","1","0","0","0","0","0"
"881200.jpg","7.3","0","0","1","0","1","0","0","0","0","0"
"108624.jpg","6.4","0","0","1","0","0","0","0","0","0","0"
"101545.jpg","5.9","0","1","0","1","0","0","0","0","0","0"
"4447076.jpg","6.8","0","1","0","0","0","0","0","0","0","0"
"1015971.jpg","7.9","0","0","0","0","0","0","0","0","0","1"
"486822.jpg","6.9","0","0","0","0","1","0","1","0","1","0"
"113939.jpg","6.5","0","0","0","0","0","1","0","1","1","0"
"4034380.jpg","5.1","0","0","0","0","0","0","1","1","0","0"
"3088362.jpg","5.3","1","1","0","0","0","0","0","0","0","0"
"112744.jpg","6.3","0","0","0","0","1","0","1","0","0","0"
"1189340.jpg","7.3","0","0","0","0","1","1","1","0","0","0"
"364955.jpg","6.3","0","1","0","0","1","0","0","0","0","0"
"309530.jpg","6.3","0","1","0","1","0","0","0","0","0","0"
"95107.jpg","5.5","0","1","0","0","0","0","0","0","0","0"
"2071582.jpg","5.4","0","0","0","0","0","1","0","0","1","0"
"1411277.jpg","5.1","0","0","0","0","1","0","0","0","0","0"
"108550.jpg","7.8","0","0","0","0","1","0","0","0","0","0"
"1801063.jpg","4","0","0","0","0","0","0","0","1","0","0"
"246005.jpg","6.9","0","1","0","0","1","0","0","0","0","0"
"1789083.jpg","8.3","0","0","0","0","0","0","0","0","0","1"
"88195.jpg","5.9","0","0","1","0","1","0","1","0","0","0"
"4106306.jpg","5.9","0","0","0","0","1","0","0","0","0","0"
"270882.jpg","2.8","0","1","1","0","0","1","0","0","0","0"
"113464.jpg","6.7","0","1","0","0","1","0","0","0","0","0"
"1844643.jpg","4","0","0","0","0","0","0","0","1","0","0"
"768239.jpg","7","0","0","0","0","1","0","0","0","0","0"
"98724.jpg","7.2","0","0","0","0","1","0","0","0","0","0"
"117942.jpg","4.7","0","0","1","0","1","0","0","0","0","0"
"115438.jpg","6.5","0","1","0","0","0","1","1","0","0","0"
"189047.jpg","4.1","1","0","0","0","0","0","0","1","0","0"
"1367454.jpg","6.5","0","0","0","0","0","0","0","0","0","1"
"179841.jpg","6.2","0","0","0","0","1","0","0","0","0","0"
"105215.jpg","5.4","0","0","0","0","1","0","0","0","0","0"
"107626.jpg","5.3","0","1","0","0","0","0","0","1","0","0"
"263366.jpg","6.9","0","0","0","0","1","0","0","0","0","0"
"2369600.jpg","5","0","1","0","1","0","0","0","0","0","0"
"372478.jpg","7.4","0","0","0","1","1","0","0","0","0","0"
"2004271.jpg","6.4","0","0","0","0","1","0","0","0","0","0"
"988108.jpg","8","0","0","0","0","1","0","0","0","0","0"
"910934.jpg","5.4","0","0","1","0","0","1","1","0","0","0"
