,0,1,2,3
0,114709,8.3,Animation|Adventure|Comedy,"(2413012, 3794832, 3612587)"
1,113497,6.9,Action|Adventure|Family,"(2415456, 3797927, 3614223)"
2,113228,6.6,Comedy|Romance,"(2419686, 3802691, 3618273)"
3,114885,5.7,Comedy|Drama|Romance,"(2421817, 3806461, 3625212)"
4,113041,5.9,Comedy|Family|Romance,"(2423424, 3811330, 3630536)"
5,113277,8.2,Action|Crime|Drama,"(2427644, 3816690, 3632763)"
6,114319,6.3,Comedy|Drama,"(2431837, 3819115, 3638593)"
7,114576,5.7,Action|Crime|Thriller,"(2434435, 3824577, 3641668)"
8,113189,7.2,Action|Adventure|Thriller,"(2437746, 3829759, 3645046)"
9,112346,6.8,Comedy|Drama|Romance,"(2442720, 3836050, 3646605)"
10,112896,5.8,Comedy|Fantasy|Horror,"(2445381, 3841971, 3651115)"
11,112453,7.1,Animation|Adventure|Drama,"(2450516, 3845914, 3657595)"
12,113987,7.1,Biography|Drama|History,"(2452012, 3849642, 3660008)"
13,112760,5.6,Action|Adventure|Comedy,"(2452832, 3854333, 3666385)"
14,112641,8.2,Crime|Drama,"(2457222, 3859202, 3668048)"
15,114388,7.7,Drama|Romance,"(2458467, 3864016, 3676058)"
16,113101,6.7,Comedy,"(2461023, 3866965, 3682402)"
17,112281,6.3,Adventure|Comedy|Crime,"(2465148, 3870226, 3688409)"
18,113845,5.6,Action|Comedy|Crime,"(2468756, 3876773, 3694457)"
19,113161,6.9,Comedy|Crime|Thriller,"(2472029, 3882172, 3697066)"
20,112722,6.6,Crime|Drama|Mystery,"(2476409, 3887266, 3699255)"
21,112401,6.3,Action|Crime|Thriller,"(2482555, 3892310, 3701953)"
22,114168,6.5,Drama|Fantasy|Mystery,"(2484398, 3895333, 3709516)"
23,113627,7.6,Drama|Romance,"(2487299, 3899742, 3711592)"
24,114057,6.9,Drama|Romance,"(2488743, 3904520, 3714304)"
25,114011,6.8,Comedy|Drama|Romance,"(2491871, 3906910, 3720995)"
26,114117,7.7,Drama,"(2495377, 3910768, 3724980)"
27,112682,7.7,Fantasy|Sci-Fi,"(2500956, 3916422, 3727933)"
28,112792,6.4,Biography|Drama,"(2503435, 3921381, 3729858)"
29,114746,8.0,Mystery|Sci-Fi|Thriller,"(2505966, 3924159, 3731536)"
30,114952,6.5,Adventure|Romance,"(2507434, 3930091, 3739229)"
31,112431,6.8,Comedy|Drama|Family,"(2511440, 3935171, 3743871)"
32,112637,6.9,Biography|Drama|Romance,"(2516070, 3939956, 3751079)"
33,112818,7.6,Crime|Drama,"(2517797, 3944605, 3756389)"
34,112286,6.4,Adventure|Drama|Family,"(2522846, 3946793, 3760494)"
35,113442,5.7,Comedy|Family|Romance,"(2526058, 3948981, 3767958)"
36,112749,6.9,Drama|Thriller,"(2529212, 3953917, 3770570)"
37,114279,7.5,Drama|War,"(2530995, 3962721, 3775769)"
38,112819,6.8,Action|Crime|Drama,"(2534371, 3964467, 3778536)"
39,114272,6.7,Biography|Drama|History,"(2537779, 3968923, 3781188)"
40,113855,5.8,Action|Adventure|Fantasy,"(2538659, 3974265, 3783108)"
41,114681,6.8,Comedy|Crime|Drama,"(2544622, 3981031, 3787075)"
42,114369,8.6,Crime|Drama|Mystery,"(2546710, 3987952, 3790912)"
43,114148,6.7,Animation|Adventure|Drama,"(2549059, 3992868, 3793475)"
44,114916,6.7,Drama|Romance,"(2555459, 3995948, 3797555)"
45,114814,8.6,Crime|Drama|Mystery,"(2557721, 3999192, 3802825)"
46,113819,7.1,Comedy|Fantasy|Romance,"(2564928, 4002342, 3805940)"
47,113158,6.5,Drama|Music,"(2566244, 4006464, 3812088)"
48,113541,5.0,Adventure|Comedy|Family,"(2569062, 4009602, 3817729)"
49,113321,6.6,Comedy|Drama|Romance,"(2571745, 4014704, 3823786)"
50,110877,7.7,Biography|Comedy|Drama,"(2575381, 4019700, 3828825)"
51,112714,7.6,Drama|Mystery|Thriller,"(2580505, 4023466, 3835196)"
52,113419,5.9,Drama|Family|Fantasy,"(2587857, 4027175, 3839194)"
53,116260,6.1,Crime|Drama|Thriller,"(2590310, 4033178, 3842095)"
54,113862,7.3,Drama|Music,"(2592537, 4034985, 3846848)"
55,116126,6.6,Comedy|Crime,"(2594367, 4041932, 3853866)"
56,118002,5.2,Comedy|Crime|Romance,"(2597454, 4045277, 3856700)"
57,115683,4.4,Comedy,"(2602422, 4049052, 3861952)"
58,116839,2.4,Action|Sci-Fi|Thriller,"(2608260, 4052074, 3864452)"
59,114753,6.3,Drama,"(2613990, 4057813, 3870041)"
60,113149,6.4,Comedy,"(2616030, 4058744, 3879007)"
61,113118,7.3,Comedy|Drama,"(2620770, 4063487, 3884511)"
62,116367,7.3,Action|Crime|Horror,"(2625738, 4069437, 3888700)"
63,113828,7.5,Drama|History,"(2629326, 4075379, 3894381)"
64,115644,6.1,Romance|Drama,"(2633201, 4080257, 3901130)"
65,115676,4.5,Comedy|Thriller,"(2637203, 4085287, 3907414)"
66,114367,6.4,Sci-Fi|Thriller,"(2642935, 4090945, 3909197)"
67,113973,7.3,Documentary|Biography|Music,"(2649939, 4094455, 3911101)"
68,112744,6.3,Drama|Thriller,"(2652140, 4096008, 3912632)"
69,116731,5.6,Drama|Thriller,"(2654011, 4102872, 3916134)"
70,112445,7.8,Drama|Family,"(2655681, 4107461, 3923195)"
71,114660,6.8,Crime|Drama,"(2659695, 4113285, 3925401)"
72,112379,7.5,Comedy|Drama,"(2662231, 4116548, 3931472)"
73,114039,7.2,Drama|Romance,"(2664007, 4121301, 3938803)"
74,113612,6.1,Comedy|Drama,"(2672652, 4123773, 3945839)"
75,112365,7.0,Drama|Romance,"(2674578, 4128141, 3949027)"
76,118158,6.6,Adventure|Drama,"(2678922, 4131751, 3954759)"
77,116151,5.3,Comedy|Adventure|Family,"(2683723, 4135372, 3960867)"
78,115697,6.2,Comedy,"(2689343, 4139869, 3966715)"
79,113972,6.3,Action|Crime|Drama,"(2690452, 4145562, 3973780)"
80,113490,6.6,Drama,"(2692006, 4152089, 3978427)"
81,114825,4.5,Comedy|Fantasy|Horror,"(2693804, 4157302, 3981809)"
82,115639,7.2,Comedy|Drama|Romance,"(2697375, 4160995, 3988896)"
83,115759,6.0,Action|Crime|Thriller,"(2699935, 4165100, 3994010)"
84,113403,7.3,Comedy,"(2703171, 4169496, 3998088)"
85,113247,8.1,Crime|Drama,"(2704667, 4171535, 4000411)"
86,111173,5.4,Action|Crime|Drama,"(2708619, 4176674, 4004335)"
87,113283,6.6,Documentary|Biography,"(2709074, 4177036, 4008302)"
88,115907,6.2,Drama,"(2710876, 4178923, 4011475)"
89,117102,3.8,Comedy,"(2713263, 4182317, 4018758)"
90,118040,6.0,Drama|Mystery|Sci-Fi,"(2718684, 4187073, 4022360)"
91,110251,7.3,Comedy|Drama,"(2723232, 4194286, 4024502)"
92,117110,6.9,Action|Adventure|Comedy,"(2726914, 4198938, 4031469)"
93,112646,6.4,Documentary,"(2730349, 4205515, 4034523)"
94,113276,4.7,Comedy|Crime|Drama,"(2733313, 4210119, 4040210)"
95,112573,8.4,Biography|Drama|History,"(2736893, 4215427, 4045457)"
96,113326,6.7,Action|Comedy|Crime,"(2739305, 4220931, 4049915)"
97,115645,6.1,Crime|Drama|Mystery,"(2742243, 4223043, 4057531)"
98,113774,7.3,Drama,"(2748128, 4230275, 4063946)"
99,112556,7.0,Comedy,"(2753017, 4234689, 4068399)"
