imdb_id,imdb_score,genre,happy,sad,disgusted,angry,surprised,unknown,calm,fear,confused
114709,8.3,Comedy|Adventure,0,0,0,0,0,0,0,99,0
113497,6.9,Action|Adventure,0,0,0,0,0,0,0,0,0
113228,6.6,Comedy|Romance,32,13,0,19,1,0,13,17,0
114885,5.7,Comedy|Romance|Drama,75,0,1,11,5,0,2,2,0
113041,5.9,Comedy|Romance,20,0,0,0,5,0,68,0,3
113277,8.2,Crime|Action|Drama,1,3,1,6,2,0,82,0,1
114319,6.3,Comedy|Drama,5,64,1,4,0,0,20,0,2
114576,5.7,Crime|Thriller|Action,0,68,0,0,0,0,27,1,0
113189,7.2,Thriller|Action|Adventure,0,1,0,0,0,0,96,0,0
112346,6.8,Comedy|Romance|Drama,2,8,0,3,1,0,81,1,1
112896,5.8,Comedy|Horror,15,21,1,8,3,0,24,16,7
112453,7.1,Drama|Adventure,0,0,0,0,0,0,0,0,0
113987,7.1,Drama,0,2,1,49,0,0,13,0,32
112760,5.6,Comedy|Action|Adventure,3,13,0,1,21,0,57,0,0
112641,8.2,Crime|Drama,1,9,5,19,2,0,52,7,2
114388,7.7,Romance|Drama,99,0,0,0,0,0,0,0,0
113101,6.7,Comedy,32,8,16,2,1,0,34,3,0
112281,6.3,Crime|Comedy|Adventure,99,0,0,0,0,0,0,0,0
113845,5.6,Crime|Comedy|Action,4,10,1,13,8,0,55,3,3
113161,6.9,Crime|Comedy|Thriller,5,1,0,2,0,0,86,0,1
112722,6.6,Crime|Mystery|Drama,0,2,0,2,3,0,47,42,0
112401,6.3,Crime|Thriller|Action,0,10,0,1,0,0,85,0,1
114168,6.5,Mystery|Drama,0,0,0,0,0,0,0,0,0
113627,7.6,Romance|Drama,36,7,2,3,3,0,43,2,1
114057,6.9,Romance|Drama,1,17,4,22,2,0,47,1,1
114011,6.8,Comedy|Romance|Drama,18,38,0,9,1,0,11,18,0
114117,7.7,Drama,0,65,0,0,0,0,25,0,7
112792,6.4,Drama,8,25,3,11,2,0,33,12,2
114746,8.0,Mystery|Thriller,0,8,0,4,0,0,51,34,0
114952,6.5,Romance|Adventure,98,0,0,0,0,0,0,0,0
112431,6.8,Comedy|Drama,0,0,0,0,0,0,0,0,0
112637,6.9,Romance|Drama,9,16,0,2,1,0,24,43,1
112818,7.6,Crime|Drama,0,4,0,1,0,0,89,0,0
112286,6.4,Drama|Adventure,0,0,0,0,0,0,0,0,0
113442,5.7,Comedy|Romance,59,17,1,13,1,0,3,1,0
112749,6.9,Thriller|Drama,0,6,1,40,3,0,39,2,5
114279,7.5,Drama,2,1,0,3,1,0,73,0,18
112819,6.8,Crime|Action|Drama,1,4,0,11,3,0,40,35,3
114272,6.7,Drama,3,2,5,6,1,0,78,1,0
