,imdbId,Imdb Link,Title,Poster,detected_words
0,114709,http://www.imdb.com/title/tt114709,Toy Story (1995),"https://images-na.ssl-images-amazon.com/images/M/MV5BMDU2ZWJlMjktMTRhMy00ZTA5LWEzNDgtYmNmZTEwZTViZWJkXkEyXkFqcGdeQXVyNDQ2OTk4MzI@._V1_UX182_CR0,0,182,268_AL_.jpg","['', 't', 'as', 'PTY,', 'Hy', 'i', 'xe', '|', 'gh', 'Pty,', '2', 'a', 'x.', 'oA', 'S%', 'ale', 'wee', 'ey', 'SY', '»', 'os', 'CAE']"
1,113497,http://www.imdb.com/title/tt113497,Jumanji (1995),"https://images-na.ssl-images-amazon.com/images/M/MV5BZTk2ZmUwYmEtNTcwZS00YmMyLWFkYjMtNTRmZDA3YWExMjc2XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY268_CR10,0,182,268_AL_.jpg",['']
2,113228,http://www.imdb.com/title/tt113228,Grumpier Old Men (1995),"https://images-na.ssl-images-amazon.com/images/M/MV5BMjQxM2YyNjMtZjUxYy00OGYyLTg0MmQtNGE2YzNjYmUyZTY1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg","['', 'OLD', 'a', 'MEN', 'i“', ' ', 'GRUMPIER', 'lee']"
3,114885,http://www.imdb.com/title/tt114885,Waiting to Exhale (1995),"https://images-na.ssl-images-amazon.com/images/M/MV5BMTczMTMyMTgyM15BMl5BanBnXkFtZTcwOTc4OTQyMQ@@._V1_UY268_CR4,0,182,268_AL_.jpg","['', 'oF', 'oEnbole', 'OD', 'Dhritiog', 'Whitney', 'Bassett', 'Houston', 'Whitnoy', 'Angelo', 'Kiting', '9&', '‘Whitney', 'Mbiting']"
4,113041,http://www.imdb.com/title/tt113041,Father of the Bride Part II (1995),"https://images-na.ssl-images-amazon.com/images/M/MV5BOTEyNzg5NjYtNDU4OS00MWYxLWJhMTItYWU4NTkyNDBmM2Y0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",['']
5,113277,http://www.imdb.com/title/tt113277,Heat (1995),"https://images-na.ssl-images-amazon.com/images/M/MV5BNGMwNzUwNjYtZWM5NS00YzMyLWI4NjAtNjM0ZDBiMzE1YWExXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_UX182_CR0,0,182,268_AL_.jpg","['', 'ar', 'a', 'PO', 'an', '£', '“Mins', 'au', 'i', 'ae', '©', '|', 'E']"
6,114319,http://www.imdb.com/title/tt114319,Sabrina (1995),"https://images-na.ssl-images-amazon.com/images/M/MV5BMTA3OTQ2NTk2ODNeQTJeQWpwZ15BbWU4MDQ3NTM4MDMx._V1_UX182_CR0,0,182,268_AL_.jpg","['', 'has', 'RUIN', 'I)', 'Mera', 'nc', 'E']"
7,112302,http://www.imdb.com/title/tt112302,Tom and Huck (1995),"https://images-na.ssl-images-amazon.com/images/M/MV5BMTUxNDYzMDY1OV5BMl5BanBnXkFtZTcwNDA2MzYxMQ@@._V1_UY268_CR2,0,182,268_AL_.jpg",['']
8,114576,http://www.imdb.com/title/tt114576,Sudden Death (1995),"https://images-na.ssl-images-amazon.com/images/M/MV5BN2NjYWE5NjMtODlmZC00MjJhLWFkZTktYTJlZTI4YjVkMGNmXkEyXkFqcGdeQXVyNDc2NjEyMw@@._V1_UY268_CR0,0,182,268_AL_.jpg","['', '   ', 'Ait', 'cies', ' ']"
9,113189,http://www.imdb.com/title/tt113189,GoldenEye (1995),"https://images-na.ssl-images-amazon.com/images/M/MV5BMzk2OTg4MTk1NF5BMl5BanBnXkFtZTcwNjExNTgzNA@@._V1_UX182_CR0,0,182,268_AL_.jpg",['']
10,112346,http://www.imdb.com/title/tt112346,The American President (1995),"https://images-na.ssl-images-amazon.com/images/M/MV5BMTI5NDU2NDYzOF5BMl5BanBnXkFtZTYwNDk5MDI5._V1_UY268_CR4,0,182,268_AL_.jpg","['', 'Destin', 'Saat', ' ']"
11,112896,http://www.imdb.com/title/tt112896,Dracula: Dead and Loving It (1995),"https://images-na.ssl-images-amazon.com/images/M/MV5BZWQ0ZDFmYzMtZGMyMi00NmYxLWE0MGYtYzM2ZGNhMTE1NTczL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMjM5ODMxODc@._V1_UX182_CR0,0,182,268_AL_.jpg","['', 'ia', 'LA', 'a', 'DRACULA', 'oan', 'ed']"
